A,B,Parallel_Corridor
2642,2768,EastBay_InnerBBApproach80580880_AM
2643,2641,EastBay_InnerBBApproach80580880_AM
2643,2642,EastBay_InnerBBApproach80580880_AM
2643,2644,EastBay_68024980_PM
2643,2694,EastBay_InnerBBApproach80580880_PM
2643,2718,EastBay_InnerBBApproach80580880_PM
2643,2719,EastBay_68024980_AM
2644,2643,EastBay_68024980_AM
2644,2654,EastBay_68024980_PM
2644,2695,EastBay_InnerBBApproach80580880_PM
2654,2644,EastBay_68024980_AM
2654,2656,EastBay_68024980_PM
2654,2695,EastBay_68024980_AM
2655,2656,EastBay_InnerBBApproach80580880_AM
2655,2660,EastBay_InnerBBApproach80580880_PM
2656,2654,EastBay_InnerBBApproach80580880_AM
2656,2655,EastBay_InnerBBApproach80580880_PM
2657,2642,EastBay_InnerBBApproach80580880_PM
2657,2658,EastBay_InnerBBApproach80580880_PM
2658,2657,EastBay_InnerBBApproach80580880_AM
2658,2659,EastBay_InnerBBApproach80580880_PM
2659,2658,EastBay_InnerBBApproach80580880_AM
2659,12069,EastBay_InnerBBApproach80580880_PM
2660,2655,EastBay_68024980_AM
2660,2661,EastBay_InnerBBApproach80580880_PM
2661,2660,EastBay_InnerBBApproach80580880_AM
2661,2662,EastBay_InnerBBApproach80580880_PM
2662,2617,EastBay_InnerBBApproach80580880_PM
2662,2661,EastBay_InnerBBApproach80580880_AM
2677,2697,EastBay_68024980_AM
2686,2694,EastBay_68024980_PM
2686,2722,EastBay_68024980_AM
2687,2688,EastBay_Inner580_AM
2687,2914,EastBay_Inner580_PM
2688,2687,EastBay_Inner580_PM
2688,2689,EastBay_68024980_PM
2688,2690,EastBay_InnerBBApproach80580880_AM
2688,2725,EastBay_68024980_AM
2689,2688,EastBay_68024980_AM
2689,2691,EastBay_InnerBBApproach80580880_AM
2689,2692,EastBay_68024980_PM
2689,2923,EastBay_InnerBBApproach80580880_PM
2690,2688,EastBay_InnerBBApproach80580880_PM
2690,2694,EastBay_InnerBBApproach80580880_AM
2691,2689,EastBay_InnerBBApproach80580880_PM
2691,2695,EastBay_InnerBBApproach80580880_AM
2692,2689,EastBay_68024980_AM
2692,2696,EastBay_68024980_PM
2694,2643,EastBay_InnerBBApproach80580880_AM
2694,2686,EastBay_68024980_AM
2694,2690,EastBay_InnerBBApproach80580880_PM
2694,2695,EastBay_68024980_PM
2695,2644,EastBay_InnerBBApproach80580880_AM
2695,2654,EastBay_68024980_PM
2695,2691,EastBay_InnerBBApproach80580880_PM
2695,2694,EastBay_68024980_AM
2696,2692,EastBay_68024980_AM
