ZONE,SD,COUNTY,SD_NAME,COUNTY_NAME
550,11,3,Central San Jose,Santa Clara
551,11,3,Central San Jose,Santa Clara
552,11,3,Central San Jose,Santa Clara
553,11,3,Central San Jose,Santa Clara
554,11,3,Central San Jose,Santa Clara
555,11,3,Central San Jose,Santa Clara
556,11,3,Central San Jose,Santa Clara
557,11,3,Central San Jose,Santa Clara
558,11,3,Central San Jose,Santa Clara
559,11,3,Central San Jose,Santa Clara
560,11,3,Central San Jose,Santa Clara
561,11,3,Central San Jose,Santa Clara
562,11,3,Central San Jose,Santa Clara
563,11,3,Central San Jose,Santa Clara
564,11,3,Central San Jose,Santa Clara
565,11,3,Central San Jose,Santa Clara
566,11,3,Central San Jose,Santa Clara
567,11,3,Central San Jose,Santa Clara
568,11,3,Central San Jose,Santa Clara
569,11,3,Central San Jose,Santa Clara
570,11,3,Central San Jose,Santa Clara
571,11,3,Central San Jose,Santa Clara
572,11,3,Central San Jose,Santa Clara
573,11,3,Central San Jose,Santa Clara
574,11,3,Central San Jose,Santa Clara
575,11,3,Central San Jose,Santa Clara
576,11,3,Central San Jose,Santa Clara
577,11,3,Central San Jose,Santa Clara
578,11,3,Central San Jose,Santa Clara
