"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
965,225,529,61,108,34,22,42,43,78,62,156,69,38,84,34,69,26,31,291,181,0,4,0,0,4
966,35,83,14,12,9,0,2,16,17,0,26,9,6,3,10,16,0,10,25,45,3,17,0,0,17
967,319,586,135,157,25,2,23,156,140,0,290,29,39,36,62,182,19,21,353,134,59,47,0,0,47
968,1354,2707,546,576,88,144,350,738,223,43,1182,172,978,113,168,95,57,185,717,666,1082,79,0,0,79
969,1004,2033,404,469,77,54,154,511,314,25,884,120,498,156,236,114,77,130,813,648,365,185,0,0,185
970,2645,4776,1510,788,266,81,544,1383,589,129,2415,230,1421,405,320,499,134,211,2611,1118,702,312,0,0,312
971,448,719,296,114,19,19,102,259,57,30,412,36,283,102,38,25,10,53,357,128,171,41,41,0,0
972,3617,6355,1946,1213,210,248,712,1779,1044,82,3246,371,1665,937,519,496,238,424,3360,1342,991,69,0,0,69
973,1504,2754,659,636,163,46,115,814,492,83,1364,140,331,551,412,210,101,129,1666,603,255,0,0,0,0
974,2868,4817,1616,787,392,73,441,1478,839,110,2554,314,684,757,725,702,248,236,2116,1159,1058,4,0,0,4
975,1115,2378,385,427,197,106,92,502,435,86,891,224,295,272,257,291,150,218,1117,674,219,2,0,0,2
976,1975,4179,797,828,227,123,110,1004,725,136,1767,208,499,636,507,333,101,327,2638,838,275,148,0,0,148
977,2769,6741,871,1033,495,370,389,1156,937,287,2115,654,1161,734,582,292,234,822,3627,1460,598,31,0,0,31
978,1382,3890,501,348,276,257,241,670,347,124,1078,304,880,316,123,63,112,608,1984,866,320,453,0,0,453
979,1749,3779,801,714,138,96,243,969,464,73,1555,194,936,414,178,221,66,268,1756,1068,621,340,0,0,340
980,493,1280,118,208,102,65,74,166,142,111,396,97,194,92,112,95,30,149,754,235,112,4,0,0,4
981,411,798,188,156,32,35,100,205,98,8,349,62,291,60,42,18,50,60,316,191,181,2,0,0,2
982,655,1675,219,202,99,135,135,411,81,28,341,314,506,95,35,19,280,335,689,223,148,2,0,0,2
983,1134,2802,459,318,222,135,216,503,309,106,875,259,650,236,131,117,195,258,1524,407,418,11,0,0,11
984,156,379,56,48,27,25,36,88,26,6,94,62,105,33,12,6,39,80,166,67,27,8,0,0,8
985,771,1876,273,239,136,123,180,433,129,29,465,306,517,165,57,32,192,396,820,334,134,42,0,0,42
986,658,2093,174,158,87,239,108,233,179,138,480,178,343,183,70,62,123,413,967,386,204,11,0,0,11
987,741,1924,251,244,103,143,138,323,192,88,541,200,396,165,112,68,145,310,943,349,177,1,0,0,1
988,1276,2793,606,360,172,138,156,618,418,84,1063,213,449,247,362,218,222,277,1394,639,261,107,0,0,107
989,810,2105,273,211,194,132,85,397,192,136,567,243,402,247,84,77,145,297,1120,382,161,57,0,0,57
990,1032,3041,410,337,82,203,193,403,259,177,874,158,466,267,190,109,99,186,1769,666,321,414,0,0,414
991,6111,10731,3090,2198,566,257,828,3255,1879,149,5461,650,1669,1464,1366,1612,419,558,6270,2117,1367,63,0,0,63
992,1098,2523,343,433,209,113,110,584,303,101,903,195,378,350,194,176,124,339,1140,688,232,2,0,0,2
993,1771,4336,595,652,287,237,265,679,599,228,1418,353,620,508,296,347,212,427,2236,954,507,153,0,0,153
994,843,2209,205,314,146,178,147,334,231,131,594,249,318,198,154,173,143,328,895,586,257,0,0,0,0
995,1461,4310,328,417,350,366,109,496,584,272,955,506,530,327,288,316,207,676,2368,784,275,131,0,0,131
996,1916,5162,593,694,325,304,221,778,709,208,1522,394,843,401,416,256,246,609,2694,1001,612,174,0,0,174
997,643,1524,228,180,153,82,88,214,283,58,481,162,187,132,133,191,121,143,743,350,167,6,0,0,6
998,2294,4837,921,849,258,266,264,1015,941,74,1849,445,691,516,367,720,187,684,1921,1388,657,38,27,0,11
999,978,2287,283,408,136,151,87,409,419,63,749,229,105,191,225,457,102,319,817,611,438,70,0,0,70
1000,1834,4092,595,677,312,250,181,827,692,134,1392,442,447,372,407,608,294,453,1917,940,488,13,0,0,13
1001,1536,3849,483,518,328,207,167,591,553,225,1210,326,385,360,460,331,302,268,2312,711,256,125,0,0,125
1002,820,1930,321,289,80,130,81,351,308,80,637,183,213,244,201,162,44,244,1056,392,194,106,0,0,106
1003,675,1418,288,200,113,74,81,321,218,55,560,115,157,166,163,189,65,112,667,374,200,13,0,0,13
1004,1293,3008,389,467,232,205,198,648,404,43,1014,279,149,242,187,715,137,338,758,916,859,1,0,0,1
1005,1258,3002,249,619,213,177,192,471,543,52,1016,242,171,146,188,753,185,319,644,1091,763,2,0,0,2
1006,1324,3941,542,457,75,250,313,604,300,107,1076,248,486,181,256,401,37,1188,1409,718,589,627,623,0,4
1007,1034,4763,268,371,205,190,142,483,312,97,956,78,665,141,175,53,0,1910,2600,134,119,1933,1921,0,12
1008,1386,8655,612,458,156,160,284,710,315,77,1374,12,934,273,107,72,8,4131,4205,271,40,5434,5015,0,419
1009,2182,5209,1037,592,183,370,349,1190,453,190,2104,78,1460,237,226,259,0,499,4010,417,283,73,58,0,15
1010,1202,2800,415,476,107,204,137,583,402,80,1036,166,313,290,276,323,100,269,1522,478,431,15,0,0,15
1011,1434,3210,639,387,232,176,282,626,374,152,1254,180,701,335,167,231,137,259,1317,852,645,101,0,0,101
1012,2014,5397,583,629,370,432,232,883,650,249,1465,549,665,453,487,409,203,989,2274,1324,607,122,0,0,122
1013,1641,4060,459,581,313,288,259,710,583,89,1099,542,534,313,422,372,315,600,1517,1043,585,0,0,0,0
1014,869,2161,326,329,117,97,90,513,214,52,628,241,294,226,172,177,196,225,1226,349,165,304,0,0,304
