TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
544,696,67,129,366,0,69,65
545,1486,43,400,1000,0,15,28
546,30157,40,2369,12192,0,364,15192
547,7095,205,2841,842,0,545,2662
548,969,54,144,664,0,67,40
549,3294,103,1820,990,2,99,280
550,602,35,176,340,0,4,47
551,1309,114,148,598,0,269,180
552,316,1,42,145,0,0,128
553,295,36,18,195,0,28,18
554,623,70,119,383,0,3,48
555,899,41,57,727,0,64,10
556,377,4,2,371,0,0,0
557,10612,137,635,6029,0,143,3668
558,24839,198,13192,3026,9,307,8107
559,672,19,120,434,0,25,74
560,3188,31,1708,1229,0,163,57
561,1187,70,218,494,11,297,97
562,459,58,31,259,0,11,100
563,16866,1653,2440,3303,9,5434,4027
564,1865,746,188,825,0,23,83
565,1259,9,558,352,0,189,151
566,1130,94,87,474,0,109,366
567,2014,285,188,709,0,488,344
568,801,111,36,462,0,88,104
569,224,5,24,172,0,8,15
570,450,120,79,236,0,0,15
571,196,3,12,141,1,2,37
572,651,2,27,600,0,14,8
573,283,51,4,206,0,14,8
574,503,24,47,393,0,7,32
575,808,88,33,601,0,52,34
576,516,41,68,262,0,55,90
577,437,5,14,404,0,4,10
578,760,88,92,519,0,16,45
579,2650,701,47,1110,0,250,542
580,637,70,38,270,0,130,129
581,436,73,32,316,0,3,12
582,2223,442,133,1568,0,46,34
583,3636,1299,313,1929,0,41,54
584,583,53,44,440,0,20,26
585,565,95,66,390,0,8,6
586,829,274,24,461,0,16,54
587,413,0,9,404,0,0,0
588,436,26,33,354,0,5,18
589,649,56,83,385,0,67,58
590,554,213,40,249,0,47,5
591,946,72,104,662,0,20,88
592,521,51,21,283,18,92,56
593,3194,147,158,202,0,1224,1463
594,576,13,82,338,0,16,127
595,3424,89,135,3185,0,1,14
596,758,127,32,579,0,13,7
597,1002,1,120,544,0,260,77
598,820,121,216,425,1,21,36
599,169,0,17,132,0,10,10
600,280,11,14,246,0,1,8
601,1642,53,906,557,0,52,74
602,4271,291,1129,372,0,905,1574
603,4955,554,1120,869,9,1295,1108
604,6980,87,744,2070,0,2822,1257
605,12833,874,2183,1592,0,7123,1061
606,2178,57,638,904,6,423,150
607,5620,2440,335,1881,0,111,853
608,9247,249,2079,1166,0,3990,1763
609,2036,184,356,743,1,75,677
610,513,39,69,223,0,117,65
611,1440,90,192,1038,0,51,69
612,1989,83,450,715,0,701,40
613,749,120,101,459,0,58,11
614,560,26,36,486,3,4,5
615,441,6,32,372,0,7,24
616,669,12,17,634,0,3,3
617,468,70,19,364,0,10,5
618,115,2,17,77,0,9,10
