ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,ZERO,hhlds,gqpop
83,2,2,1,2166,3863,3886,2564,611,1588,358,289,328,1202,119.0,76.87455826930534,2.0,0.22556584362139917,571,50,336,1523,1185,666,15,259,211,3,39,44,0.0,0.0,3,0,0,0,2.43258,1,0,2166,23
84,2,2,1,2456,4797,4868,4106,337,2086,240,322,429,1446,117.0,42.07057262680418,7.739820920437596,0.09212695795548227,1070,116,227,3105,889,358,45,414,448,2,74,87,0.0,14.12855839475947,1,0,0,0,4.17404,1,0,2456,71
85,2,2,1,1786,3425,3460,2372,49,1796,329,221,418,834,77.0,26.65460004266358,13.054467043141404,0.11201344161299356,1349,175,139,2159,695,300,117,234,796,1,31,170,0.0,36.734251826374624,2,198,0,0,4.09811,1,0,1786,35
86,2,2,1,3129,6051,6163,4037,277,2798,711,603,607,1213,125.0,52.39164816749727,22.594977913193595,0.16231838775191376,1188,351,394,3425,1220,800,42,149,922,2,24,49,0.0,21.475408760034394,2,642,0,0,3.85624,1,0,3129,112
87,2,2,1,2314,4672,4832,3457,192,2063,462,425,432,983,93.0,43.02197068039729,15.1392219938527,0.14118325009604302,1775,115,311,2994,1111,524,34,227,1368,2,41,103,0.0,0.0,2,0,0,0,3.37926,1,0,2314,160
88,2,2,1,2583,4616,4715,3522,193,2326,426,364,534,1246,85.0,40.0,18.5023948061473,0.14342881213142375,1929,108,294,2759,867,582,507,267,825,14,56,260,0.0,57.64451825061864,2,442,0,0,4.74983,2,0,2583,99
89,2,2,1,3375,7113,7273,4562,703,2743,475,628,634,1625,150.0,89.12992587774411,6.863511526259101,0.14752758479771147,1895,512,822,3479,1390,898,103,631,910,3,85,163,0.0,14.693700730549848,2,0,0,0,2.71912,1,0,3375,160
90,3,3,1,2163,3957,4142,2785,532,1469,370,381,745,656,86.0,42.0,10.594253525920902,0.17088174982911825,17979,250,190,2488,807,520,41,295,17547,2,39,55,0.0,106.81190146438158,1,235,3184,0,30.64551,1,0,2163,185
91,3,3,1,2133,4357,4927,2751,834,1219,372,281,357,1113,320.0,91.21694557657848,100.0756783843686,0.16953125,13761,203,598,2528,844,782,20,158,13509,2,22,50,0.0,7.911992701065303,1,0,0,0,1.40693,1,0,2133,570
92,3,3,1,1039,2567,2586,1288,850,86,256,140,138,495,283.0,83.18694335223663,75.0,0.34907992309804997,231,101,475,861,947,1138,12,70,112,0,8,29,0.0,0.0,3,16,0,0,1.51134,1,0,1039,19
93,3,3,1,4263,7438,7446,5521,1159,3039,661,873,854,1871,227.0,109.14798482323428,1.4359440692291,0.1796399258670903,860,160,418,3378,2320,1029,29,254,356,2,86,133,0.0,0.0,3,0,0,0,2.30069,1,0,4263,8
94,3,3,1,1274,2746,2760,1829,404,841,66,162,260,784,68.0,36.0,8.492239908342498,0.16493366798135534,1168,135,266,1148,769,390,163,340,545,2,50,68,0.0,53.1233795642956,2,0,0,0,3.39247,1,0,1274,14
95,3,3,1,1447,2901,2911,1693,595,831,184,237,269,759,86.0,51.0,4.280361521173601,0.17689406924922865,929,228,286,1210,659,438,12,447,378,1,25,66,0.0,0.0,3,0,0,0,2.22532,1,0,1447,10
96,3,3,1,1120,2341,2360,1465,426,717,84,136,243,655,75.0,44.0,2.2418862733918,0.1726649528706084,502,104,259,889,689,308,12,180,214,11,45,40,0.0,9.60741970843644,3,0,0,0,2.19556,1,0,1120,19
97,3,3,1,1754,3460,3460,2371,476,1188,298,211,291,941,84.0,47.05634992791348,8.3014765075004,0.2014450867052023,1064,157,238,1489,857,605,89,274,532,2,108,59,0.0,55.9490912432475,3,0,0,0,2.79632,1,0,1754,0
98,3,3,1,2053,4128,4128,2821,621,1377,284,349,249,1172,106.0,60.12509481007001,7.9985206020765,0.17498776309348996,1179,220,401,1738,1006,588,210,294,572,2,38,63,0.0,22.04055109582477,3,0,0,0,2.62101,1,0,2053,0
