Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
Periphery_101SouthBay,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,250.73,68.00,26.00,12.00,,0.00,,0.00,540.71,50.00,817.44,130.00
Periphery_101SouthBay,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,236.73,54.00,40.00,26.00,,0.00,,0.00,750.71,260.00,1027.44,340.00
Periphery_101SouthBay,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,174.73,-8.00,36.00,22.00,,0.00,,0.00,676.71,186.00,887.44,200.00
Periphery_101SouthBay,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,276.73,94.00,12.00,-2.00,,0.00,,0.00,502.71,12.00,791.44,104.00
Periphery_101SouthBay,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,270.73,88.00,14.00,0.00,,0.00,,0.00,514.71,24.00,799.44,112.00
Periphery_101SouthBay,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,182.73,0.00,14.00,0.00,,0.00,,0.00,490.71,0.00,687.44,0.00
Periphery_580,No Project,NoProject v10,2035_TM152_NGF_NP10,665.67,-19.78,106.00,12.00,,0.00,,0.00,,0.00,771.67,-7.78
Periphery_580,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,730.61,45.16,278.79,184.79,,0.00,,0.00,,0.00,1009.40,229.95
Periphery_580,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,770.02,84.57,239.39,145.39,,0.00,,0.00,,0.00,1009.41,229.96
Periphery_580,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,888.14,202.69,130.00,36.00,,0.00,,0.00,,0.00,1018.14,238.69
