zone,totpop,tothh,hhinc1,hhinc2,hhinc3,hhinc4,hhage1,hhage2,hhage3,hhage4,hhchild,hhnochild,hhsize1,hhsize2,hhsize3,hhsize4,hhsize5,description
190,1840,665,85,266,305,9,8,293,229,135,237,428,61,288,140,97,79,rural zone
191,9,3,0,0,3,0,0,3,0,0,2,1,0,1,1,1,0,downtown zone
192,1101,434,133,183,97,21,26,158,138,112,131,303,86,163,77,82,26,rural zone
193,366,190,116,50,24,0,40,84,39,27,45,145,73,84,12,16,5,downtown zone
194,829,389,229,118,42,0,81,175,44,89,108,281,133,138,62,46,10,rural zone
195,1412,594,224,229,136,5,19,330,171,74,188,406,103,296,88,82,25,downtown zone
196,417,207,108,93,6,0,11,71,88,37,47,160,77,78,32,12,8,rural zone
197,1273,576,268,179,64,65,249,172,72,83,87,489,180,212,98,55,31,downtown zone
198,42,13,4,9,0,0,0,13,0,0,8,5,2,3,1,4,3,rural zone
199,890,364,70,118,148,28,8,138,104,114,110,254,91,146,35,58,34,downtown zone
200,105,77,53,24,0,0,3,21,7,46,1,76,52,23,1,1,0,rural zone
201,896,467,262,186,15,4,94,239,73,61,86,381,220,146,52,17,32,downtown zone
202,15,14,12,2,0,0,3,4,1,6,0,14,13,1,0,0,0,rural zone
203,607,373,293,59,21,0,212,154,0,7,3,370,219,98,32,24,0,downtown zone
204,1101,440,90,176,166,8,0,312,100,28,167,273,97,145,103,70,25,rural zone
205,691,278,37,105,107,29,9,113,80,76,85,193,51,123,43,40,21,downtown zone
206,1072,519,199,213,99,8,77,285,91,66,121,398,195,170,94,45,15,rural zone
207,467,180,15,69,68,28,0,74,62,44,52,128,26,81,34,18,21,downtown zone
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
209,835,329,68,133,102,26,28,131,85,85,116,213,65,136,45,52,31,downtown zone
210,2992,1092,142,265,492,193,0,449,415,228,405,687,177,374,208,222,111,rural zone
211,702,243,21,132,90,0,2,148,71,22,116,127,51,67,33,42,50,downtown zone
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
213,641,260,48,81,118,13,1,113,96,50,87,173,62,96,46,31,25,downtown zone
214,562,235,22,91,104,18,0,108,38,89,75,160,50,110,31,21,23,rural zone
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
219,15,12,3,8,1,0,1,1,1,9,0,12,10,1,1,0,0,downtown zone
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
224,217,202,177,13,12,0,36,29,4,133,0,202,187,15,0,0,0,rural zone
225,291,195,136,33,26,0,47,72,26,50,7,188,116,68,7,2,2,downtown zone
226,57,47,34,13,0,0,14,23,5,5,2,45,39,6,2,0,0,rural zone
227,279,205,184,21,0,0,132,45,28,0,2,203,136,65,3,1,0,downtown zone
228,137,112,99,12,1,0,33,33,10,36,3,109,90,21,0,0,1,rural zone
229,563,408,232,125,47,4,35,183,78,112,41,367,305,66,26,7,4,downtown zone
230,1161,707,621,80,6,0,576,131,0,0,8,699,405,203,70,5,24,rural zone
231,249,108,86,18,4,0,89,19,0,0,10,98,17,61,20,0,10,downtown zone
232,1651,905,534,152,170,49,423,331,63,88,104,801,475,252,71,76,31,rural zone
233,131,71,26,34,7,4,20,35,8,8,6,65,30,29,6,5,1,downtown zone
234,2434,807,109,318,328,52,30,403,241,133,404,403,97,228,164,201,117,rural zone
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
236,26,9,2,6,1,0,0,4,0,5,3,6,1,5,0,0,3,rural zone
237,11,4,1,3,0,0,0,1,0,3,1,3,0,3,0,0,1,downtown zone
238,1489,588,71,200,281,36,15,277,149,147,218,370,118,238,77,111,44,rural zone
239,2051,807,137,255,348,67,16,353,235,203,294,513,160,296,161,134,56,downtown zone
240,133,93,29,40,10,14,0,9,8,76,3,90,62,26,1,4,0,rural zone
241,203,142,49,58,14,21,3,18,14,107,5,137,94,41,1,6,0,downtown zone
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
244,501,179,39,93,38,9,11,103,28,37,81,98,40,45,20,59,15,rural zone
245,763,334,78,122,126,8,6,152,73,103,78,256,96,140,35,33,30,downtown zone
246,1816,653,59,260,309,25,8,285,241,119,242,411,92,223,145,122,71,rural zone
247,12,10,10,0,0,0,0,4,6,0,0,10,8,2,0,0,0,downtown zone
248,10,9,9,0,0,0,0,4,5,0,0,9,8,1,0,0,0,rural zone
249,15,15,15,0,0,0,0,4,11,0,0,15,15,0,0,0,0,downtown zone
250,14,4,1,2,1,0,0,3,0,1,3,1,1,0,0,2,1,rural zone
251,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,downtown zone
252,3,2,1,1,0,0,0,0,0,2,0,2,1,1,0,0,0,rural zone
253,26,13,5,5,3,0,0,5,3,5,2,11,4,7,0,2,0,downtown zone
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
259,14,10,5,5,0,0,0,3,3,4,0,10,6,4,0,0,0,downtown zone
260,9,3,0,0,3,0,0,2,1,0,2,1,0,1,1,1,0,rural zone
261,14,9,9,0,0,0,0,5,4,0,1,8,5,3,1,0,0,downtown zone
262,11,6,1,3,2,0,0,2,2,2,0,6,1,5,0,0,0,rural zone
263,68,28,11,9,8,0,1,18,4,5,11,17,7,10,5,4,2,downtown zone
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
265,22,11,2,7,2,0,0,5,3,3,2,9,4,5,0,2,0,downtown zone
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
269,476,233,122,74,37,0,10,44,45,134,36,197,90,93,18,14,18,downtown zone
270,1277,501,111,232,145,13,8,238,115,140,183,318,104,183,89,85,40,rural zone
271,3,2,1,1,0,0,0,0,0,2,0,2,1,1,0,0,0,downtown zone
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
275,396,176,35,98,43,0,10,78,52,36,48,128,51,67,32,15,11,downtown zone
276,1124,535,158,331,43,3,110,277,116,32,156,379,194,180,91,53,17,rural zone
277,681,352,132,179,37,4,82,166,76,28,82,270,142,132,43,29,6,downtown zone
278,7,4,0,3,1,0,0,1,2,1,0,4,1,3,0,0,0,rural zone
279,13,6,1,4,1,0,0,2,2,2,1,5,1,4,0,1,0,downtown zone
280,179,78,8,39,24,7,2,21,41,14,22,56,18,37,11,6,6,rural zone
281,175,115,63,51,1,0,36,28,29,22,16,99,65,41,8,1,0,downtown zone
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
283,378,193,116,65,12,0,40,82,39,32,43,150,80,71,19,16,7,downtown zone
284,169,66,4,32,26,4,0,21,26,19,19,47,10,30,11,9,6,rural zone
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
286,689,284,26,55,120,83,4,83,109,88,60,224,62,114,48,45,15,rural zone
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural zone
289,6,2,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,downtown zone
290,137,45,6,21,17,1,0,23,14,8,27,18,6,11,8,15,5,rural zone
291,78,47,22,25,0,0,7,22,10,8,5,42,23,20,2,1,1,downtown zone
292,67,39,12,27,0,0,1,13,11,14,3,36,16,20,1,2,0,rural zone
293,60,35,15,20,0,0,5,17,6,7,5,30,17,14,2,1,1,downtown zone
294,36,14,1,1,9,3,0,6,5,3,5,9,1,7,4,1,1,rural zone
295,6,5,5,0,0,0,0,2,3,0,0,5,4,1,0,0,0,downtown zone
