"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
66,2,2,1,2004,4386,4386,2864,321,1677,361,385,515,743,105,49,15,0.2149554081866,1741,162,443,1993,993,795,267,192,1202,0,35,45,0,0,2,0,0,0,3.98394,2,0,2004,0
67,2,2,1,2142,4963,5063,3466,388,1784,310,364,507,961,96,53,7.07364,0.18324088748019,735,209,491,2497,1070,796,42,78,577,0,10,28,0,0,2,0,0,0,3.90026,2,0,2142,100
68,2,2,1,1466,3253,3284,1501,239,1407,487,324,309,346,72,34,4,0.213194868662187,1124,118,309,1580,669,608,49,256,775,0,0,44,0,0,3,0,0,0,3.23857,1,0,1466,31
69,2,2,1,2690,5945,8209,5484,417,2345,350,425,621,1294,208,97.06412,46,0.110826001955034,11894,270,1794,4251,1138,756,322,265,11232,0,21,54,0,0,2,636,6281,1076,3.49157,1,0,2690,2264
70,2,2,1,2893,6087,6093,4097,789,2498,527,483,634,1249,182,82,29,0.173827160493827,2527,311,607,2970,1326,879,535,493,1327,0,23,149,0,0,1,0,0,0,5.04619,1,0,2893,6
71,2,2,1,1942,4332,4351,2182,771,1511,564,159,256,963,145,72,11,0.232595666205625,2774,263,690,1515,1005,878,134,373,2205,11,16,35,0,0,2,0,0,0,3.18377,1,0,1942,19
72,2,2,1,1105,2259,2286,1577,167,933,158,201,226,520,59,21.06945,13,0.177270732777534,1412,93,163,1254,434,342,67,282,1033,0,20,10,0,136.33412,1,280,0,0,4.56305,1,0,1105,27
73,2,2,1,2434,4101,4101,2468,265,2214,843,374,449,768,69,32,9,0.262166788945953,1747,153,186,2034,787,941,322,118,1223,0,25,59,70.11556,126.82667,1,204,0,0,4.35988,1,0,2434,0
74,2,2,1,2163,3654,3708,1910,151,2315,913,236,396,618,84,17,24,0.388693535298891,3418,85,195,1546,588,1294,199,453,2729,0,21,16,49.20991,169.33997,1,0,0,0,4.60341,1,0,2163,54
75,2,2,1,1966,3060,3076,1814,4,2093,464,303,399,800,44,10,13,0.287577437235083,5377,81,63,1647,483,802,416,800,4073,0,47,41,68,123,1,0,0,0,4.64907,1,0,1966,16
76,2,2,1,1699,2605,2978,1625,36,2134,583,211,581,324,41,7.37879,13,0.286291680700573,3294,55,85,1402,696,740,142,385,1043,0,20,1704,75,123,2,1410,0,0,4.46759,1,0,1699,373
77,2,2,1,2134,4330,4567,2850,287,2039,689,285,479,681,69,15,25,0.245332747638919,2024,144,362,2304,772,985,149,181,1628,0,7,59,101.28109,166.10098,2,0,0,0,3.75081,1,0,2134,237
78,2,2,1,2881,5637,5677,1845,90,2905,2023,399,206,253,91,22,9,0.330918727915194,1430,180,616,1996,1203,1682,6,90,1308,0,23,3,111.9403,183.58209,2,0,0,0,4.03936,2,0,2881,40
79,2,2,1,2168,3502,3569,2590,55,2378,444,322,385,1017,68,9.60977,25.38028,0.129286115795391,12911,102,162,2186,768,351,169,475,7759,0,387,4121,95,123,1,363,0,0,4.33112,3,0,2168,67
80,2,2,1,1999,4251,4309,3030,422,1827,489,348,560,602,59,31,6,0.132914338919926,684,152,343,2525,848,441,16,181,455,0,14,18,75,116,2,0,0,0,3.64141,1,0,1999,58
81,2,2,1,4203,7874,8098,5861,326,4232,968,887,660,1688,110,39.35723,21,0.114193708199158,12680,296,479,4822,1799,702,62,438,12013,8,52,107,48,68,1,0,0,0,4.31032,1,0,4203,225
82,2,2,1,1780,3399,3429,2161,222,1550,374,397,239,770,76,29,15,0.126937701082188,1436,94,201,1912,890,332,267,524,593,0,15,37,49.00196,69.41944,1,0,0,0,3.99784,1,0,1780,30
83,2,2,1,2112,3957,3977,3291,822,1667,249,165,297,1401,119,60,2,0.196469104665826,609,173,223,1713,1234,634,19,423,133,0,14,20,0,0,3,0,0,0,2.43258,1,0,2112,20
