TAZ,PUMA,COUNTY,county_name,REGION
493,8507,3,Santa Clara,1
494,8507,3,Santa Clara,1
495,8507,3,Santa Clara,1
496,8507,3,Santa Clara,1
497,8507,3,Santa Clara,1
498,8507,3,Santa Clara,1
499,8508,3,Santa Clara,1
500,8508,3,Santa Clara,1
501,8508,3,Santa Clara,1
502,8508,3,Santa Clara,1
503,8508,3,Santa Clara,1
504,8508,3,Santa Clara,1
505,8508,3,Santa Clara,1
506,8508,3,Santa Clara,1
507,8507,3,Santa Clara,1
508,8507,3,Santa Clara,1
509,8507,3,Santa Clara,1
510,8507,3,Santa Clara,1
511,8507,3,Santa Clara,1
512,8507,3,Santa Clara,1
513,8507,3,Santa Clara,1
514,8507,3,Santa Clara,1
515,8511,3,Santa Clara,1
516,8507,3,Santa Clara,1
517,8511,3,Santa Clara,1
518,8507,3,Santa Clara,1
519,8511,3,Santa Clara,1
520,8511,3,Santa Clara,1
521,8510,3,Santa Clara,1
522,8510,3,Santa Clara,1
523,8510,3,Santa Clara,1
524,8510,3,Santa Clara,1
525,8510,3,Santa Clara,1
526,8510,3,Santa Clara,1
527,8510,3,Santa Clara,1
528,8510,3,Santa Clara,1
529,8510,3,Santa Clara,1
530,8508,3,Santa Clara,1
531,8510,3,Santa Clara,1
532,8510,3,Santa Clara,1
533,8509,3,Santa Clara,1
534,8509,3,Santa Clara,1
535,8509,3,Santa Clara,1
536,8509,3,Santa Clara,1
537,8509,3,Santa Clara,1
538,8509,3,Santa Clara,1
539,8509,3,Santa Clara,1
540,8509,3,Santa Clara,1
541,8509,3,Santa Clara,1
542,8509,3,Santa Clara,1
543,8503,3,Santa Clara,1
544,8503,3,Santa Clara,1
545,8503,3,Santa Clara,1
546,8509,3,Santa Clara,1
547,8509,3,Santa Clara,1
548,8509,3,Santa Clara,1
549,8509,3,Santa Clara,1
550,8509,3,Santa Clara,1
551,8509,3,Santa Clara,1
552,8509,3,Santa Clara,1
553,8509,3,Santa Clara,1
554,8509,3,Santa Clara,1
555,8509,3,Santa Clara,1
556,8509,3,Santa Clara,1
557,8509,3,Santa Clara,1
558,8509,3,Santa Clara,1
559,8509,3,Santa Clara,1
560,8509,3,Santa Clara,1
561,8510,3,Santa Clara,1
562,8510,3,Santa Clara,1
563,8510,3,Santa Clara,1
564,8510,3,Santa Clara,1
565,8510,3,Santa Clara,1
566,8510,3,Santa Clara,1
567,8510,3,Santa Clara,1
568,8510,3,Santa Clara,1
569,8513,3,Santa Clara,1
570,8513,3,Santa Clara,1
571,8513,3,Santa Clara,1
572,8513,3,Santa Clara,1
573,8513,3,Santa Clara,1
574,8510,3,Santa Clara,1
575,8510,3,Santa Clara,1
576,8510,3,Santa Clara,1
577,8510,3,Santa Clara,1
578,8510,3,Santa Clara,1
579,8510,3,Santa Clara,1
580,8510,3,Santa Clara,1
581,8514,3,Santa Clara,1
582,8514,3,Santa Clara,1
583,8514,3,Santa Clara,1
584,8514,3,Santa Clara,1
585,8514,3,Santa Clara,1
586,8514,3,Santa Clara,1
587,8514,3,Santa Clara,1
588,8514,3,Santa Clara,1
589,8514,3,Santa Clara,1
590,8514,3,Santa Clara,1
591,8514,3,Santa Clara,1
592,8514,3,Santa Clara,1
593,8514,3,Santa Clara,1
594,8514,3,Santa Clara,1
595,8514,3,Santa Clara,1
596,8514,3,Santa Clara,1
597,8514,3,Santa Clara,1
598,8514,3,Santa Clara,1
599,8504,3,Santa Clara,1
600,8504,3,Santa Clara,1
601,8504,3,Santa Clara,1
602,8504,3,Santa Clara,1
603,8504,3,Santa Clara,1
604,8504,3,Santa Clara,1
605,8504,3,Santa Clara,1
606,8504,3,Santa Clara,1
607,8504,3,Santa Clara,1
608,8504,3,Santa Clara,1
609,8504,3,Santa Clara,1
610,8504,3,Santa Clara,1
611,8504,3,Santa Clara,1
612,8504,3,Santa Clara,1
613,8504,3,Santa Clara,1
614,8504,3,Santa Clara,1
615,8504,3,Santa Clara,1
616,8504,3,Santa Clara,1
617,8504,3,Santa Clara,1
618,8504,3,Santa Clara,1
619,8504,3,Santa Clara,1
620,8504,3,Santa Clara,1
621,8504,3,Santa Clara,1
622,8504,3,Santa Clara,1
623,8504,3,Santa Clara,1
624,8504,3,Santa Clara,1
625,8504,3,Santa Clara,1
626,8504,3,Santa Clara,1
627,8505,3,Santa Clara,1
628,8505,3,Santa Clara,1
629,8505,3,Santa Clara,1
630,8505,3,Santa Clara,1
631,8505,3,Santa Clara,1
632,8505,3,Santa Clara,1
633,8505,3,Santa Clara,1
634,8505,3,Santa Clara,1
635,8505,3,Santa Clara,1
636,8505,3,Santa Clara,1
637,8505,3,Santa Clara,1
638,8505,3,Santa Clara,1
639,8505,3,Santa Clara,1
640,8505,3,Santa Clara,1
641,8505,3,Santa Clara,1
642,8505,3,Santa Clara,1
643,8505,3,Santa Clara,1
644,8505,3,Santa Clara,1
645,8505,3,Santa Clara,1
646,8505,3,Santa Clara,1
647,8505,3,Santa Clara,1
648,8513,3,Santa Clara,1
649,8513,3,Santa Clara,1
650,8513,3,Santa Clara,1
651,8514,3,Santa Clara,1
652,8513,3,Santa Clara,1
653,8513,3,Santa Clara,1
654,8513,3,Santa Clara,1
655,8513,3,Santa Clara,1
656,8513,3,Santa Clara,1
657,8513,3,Santa Clara,1
658,8512,3,Santa Clara,1
659,8512,3,Santa Clara,1
660,8512,3,Santa Clara,1
661,8512,3,Santa Clara,1
662,8512,3,Santa Clara,1
663,8512,3,Santa Clara,1
664,8512,3,Santa Clara,1
665,8512,3,Santa Clara,1
666,8511,3,Santa Clara,1
667,8511,3,Santa Clara,1
668,8511,3,Santa Clara,1
669,8513,3,Santa Clara,1
670,8513,3,Santa Clara,1
671,8511,3,Santa Clara,1
672,8511,3,Santa Clara,1
673,8511,3,Santa Clara,1
674,8512,3,Santa Clara,1
675,8512,3,Santa Clara,1
676,8512,3,Santa Clara,1
677,8511,3,Santa Clara,1
678,8511,3,Santa Clara,1
679,8511,3,Santa Clara,1
680,8511,3,Santa Clara,1
681,8510,3,Santa Clara,1
682,8511,3,Santa Clara,1
683,8511,3,Santa Clara,1
684,8511,3,Santa Clara,1
685,8511,3,Santa Clara,1
686,8511,3,Santa Clara,1
687,8511,3,Santa Clara,1
688,8512,3,Santa Clara,1
689,8512,3,Santa Clara,1
690,8512,3,Santa Clara,1
691,8512,3,Santa Clara,1
692,8512,3,Santa Clara,1
693,8512,3,Santa Clara,1
694,8512,3,Santa Clara,1
695,8512,3,Santa Clara,1
696,8512,3,Santa Clara,1
697,8506,3,Santa Clara,1
698,8506,3,Santa Clara,1
699,8506,3,Santa Clara,1
700,8506,3,Santa Clara,1
701,8506,3,Santa Clara,1
702,8506,3,Santa Clara,1
703,8506,3,Santa Clara,1
704,8506,3,Santa Clara,1
705,8506,3,Santa Clara,1
706,8506,3,Santa Clara,1
707,8506,3,Santa Clara,1
708,8506,3,Santa Clara,1
709,8506,3,Santa Clara,1
710,8506,3,Santa Clara,1
711,8506,3,Santa Clara,1
712,8506,3,Santa Clara,1
713,8506,3,Santa Clara,1
714,8506,3,Santa Clara,1
715,110,4,Alameda,1
716,110,4,Alameda,1
717,110,4,Alameda,1
718,110,4,Alameda,1
719,110,4,Alameda,1
720,110,4,Alameda,1
721,110,4,Alameda,1
722,110,4,Alameda,1
723,110,4,Alameda,1
724,110,4,Alameda,1
725,110,4,Alameda,1
726,110,4,Alameda,1
727,110,4,Alameda,1
728,110,4,Alameda,1
729,110,4,Alameda,1
730,110,4,Alameda,1
731,110,4,Alameda,1
732,110,4,Alameda,1
733,110,4,Alameda,1
734,110,4,Alameda,1
735,110,4,Alameda,1
736,110,4,Alameda,1
737,110,4,Alameda,1
738,110,4,Alameda,1
739,110,4,Alameda,1
740,110,4,Alameda,1
741,110,4,Alameda,1
742,110,4,Alameda,1
743,110,4,Alameda,1
744,110,4,Alameda,1
745,110,4,Alameda,1
746,110,4,Alameda,1
747,109,4,Alameda,1
748,109,4,Alameda,1
749,109,4,Alameda,1
750,108,4,Alameda,1
751,108,4,Alameda,1
752,108,4,Alameda,1
753,109,4,Alameda,1
754,109,4,Alameda,1
755,109,4,Alameda,1
756,109,4,Alameda,1
757,109,4,Alameda,1
758,109,4,Alameda,1
759,109,4,Alameda,1
760,109,4,Alameda,1
761,109,4,Alameda,1
762,109,4,Alameda,1
763,109,4,Alameda,1
764,109,4,Alameda,1
765,109,4,Alameda,1
766,109,4,Alameda,1
767,108,4,Alameda,1
768,108,4,Alameda,1
769,108,4,Alameda,1
770,108,4,Alameda,1
771,108,4,Alameda,1
772,108,4,Alameda,1
773,108,4,Alameda,1
774,109,4,Alameda,1
775,109,4,Alameda,1
776,109,4,Alameda,1
777,109,4,Alameda,1
778,109,4,Alameda,1
779,109,4,Alameda,1
780,109,4,Alameda,1
781,109,4,Alameda,1
782,109,4,Alameda,1
783,109,4,Alameda,1
784,109,4,Alameda,1
785,109,4,Alameda,1
786,109,4,Alameda,1
