ZONE,RES_UNITS,TOTHH,TOTEMP
991,6212,5330,19338
992,1210,1073,237
993,1888,1710,696
994,899,814,167
995,1565,1403,310
996,2000,1821,445
997,692,638,105
998,2441,2290,1926
999,1079,1015,1473
1000,1954,1818,667
1001,1587,1485,361
1002,868,805,355
1003,754,706,4591
1004,1381,1301,486
1005,1401,1319,13905
1006,1501,1395,950
1007,1383,1303,307
1008,1691,1561,2060
1009,2716,2512,535
1010,1321,1190,1098
1011,1577,1479,1699
1012,2196,1996,462
1013,1745,1621,383
1014,729,667,13036
1015,1168,1077,775
1016,1967,1848,906
1017,2177,2044,717
1018,2150,2055,11499
1019,119,114,105
1020,2071,1909,439
1021,1963,1811,1703
1022,1798,1657,633
1023,1626,1525,709
1024,1255,1114,2853
1025,1794,1690,656
1026,924,880,422
1027,1697,1591,1363
1028,1707,1589,201
1029,1679,1585,305
1030,868,826,152
1031,1547,1464,267
1032,680,648,162
1033,1755,1677,1056
1034,1336,1283,445
1035,917,879,573
1036,1295,1205,798
1037,995,932,385
1038,1185,1094,643
1039,2152,1999,874
1040,811,747,434
1041,929,871,1308
1042,799,772,332
1043,1135,1084,264
1044,1067,1014,221
1045,1186,1140,185
1046,973,925,155
1047,1184,1133,984
1048,1203,1142,321
1049,2162,2026,1252
1050,2782,2561,658
1051,1513,1396,1256
1052,591,566,78
1053,1664,1582,200
1054,1181,1115,345
1055,1997,1880,476
1056,1848,1712,1457
1057,1272,1106,106
1058,2131,1931,1196
1059,2858,2606,4118
1060,2064,1772,1816
1061,2388,2140,926
1062,1975,1779,5009
1063,2043,1786,3792
1064,1192,1104,179
1065,2388,2248,1697
1066,2514,2280,2535
1067,2391,2191,465
1068,1736,1468,1276
1069,4171,3849,4393
1070,1272,1170,343
1071,1834,1716,268
1072,1697,1567,1137
1073,2064,1884,643
1074,2791,2623,2427
1075,1078,990,497
1076,1258,1198,260
1077,2010,1853,407
1078,1704,1602,488
1079,3340,3187,877
1080,1910,1840,1057
1081,1451,1360,846
1082,2020,1866,890
1083,5529,5221,3027
1084,2266,2194,474
1085,1418,1357,469
1086,2285,2191,744
1087,2384,2262,179
1088,1246,1193,190
1089,2110,1905,1333
1090,1630,1432,905
1091,1527,1418,4261
1092,466,440,1466
1093,1113,1013,3804
1094,3270,3044,3783
1095,1270,1204,2557
1096,3637,3509,4377
1097,1194,1120,7075
1098,2650,2323,482
1099,3068,2924,890
1100,3126,3033,965
1101,1434,1414,288
1102,386,379,63
1103,2831,2746,953
1104,1264,1246,118
1105,473,456,47
1106,3298,3099,1190
1107,1560,1480,564
1108,2231,2157,854
1109,2902,2761,1907
1110,2786,2627,1853
1111,1936,1818,428
1112,2303,2179,1679
1113,1446,1312,9303
1114,2701,2480,300
1115,1580,1430,315
1116,1273,1218,661
1117,1278,1210,180
1118,3068,2907,3124
1119,3286,3128,841
1120,2938,2677,556
1121,5289,4913,9663
1122,2896,2668,17898
1123,2406,2272,2655
1124,2582,2496,2753
