ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
69,2,2,1,2653,5623,8035,4161,688,2106,709,728,591,625,208,97.06412,46,0.134,4725,237,1481,4093,1425,799,478,260,3668,282,0,37,0,0,2,756.92792,6280.5752,1075.53699,1,3.2796,0,2653,69,2412
70,2,2,1,2944,5860,5869,3582,482,2585,672,749,652,871,182,82,29,0.186,4149,288,472,2814,1477,818,539,616,1566,1296,3,129,0,0,1,0,0,0,1,3.4099,0,2944,70,9
71,2,2,1,2065,4382,4637,2631,600,1502,316,269,351,1129,145,72,11,0.208,2447,267,525,1707,1428,710,221,361,1505,289,15,56,0,0,2,0,0,0,1,3.12233,0,2065,71,255
72,2,2,1,1028,2048,2194,1411,227,848,253,272,218,285,59,21.06945,13,0.232,1337,59,112,1089,536,398,58,185,909,151,0,34,0,111,1,225.97119,0,0,1,3.68784,0,1028,72,146
73,2,2,1,2604,4149,4239,2503,255,2375,1042,582,475,505,69,32,9,0.255,2357,92,153,2043,1097,854,165,203,917,311,0,761,101.76254,184.07047,1,0,0,0,1,4.60672,0,2604,73,90
74,2,2,1,2273,3653,3802,1464,128,2313,859,635,389,390,84,17,24,0.397,3683,117,256,1404,727,1298,244,444,2763,187,0,45,34,117,1,0,0,0,1,4.25268,0,2273,74,149
75,2,2,1,1742,2496,2634,1356,0,1905,513,472,363,394,44,10,13,0.357,3191,44,66,1122,615,787,441,925,785,972,0,68,68,123,1,0,0,0,1,4.56377,0,1742,75,138
76,2,2,1,1619,2448,2460,1227,7,1940,567,414,364,274,41,7.37879,13,0.252,4780,48,81,1120,732,479,145,635,860,3049,4,87,119.46018,195.9147,2,1510.14819,0,0,1,4.8319,0,1619,76,12
77,2,2,1,2300,4324,4409,2108,83,2330,949,664,406,281,69,15,25,0.243,1356,187,430,1865,1080,847,102,190,745,259,0,60,76.63904,125.68802,2,0,0,0,1,3.56814,0,2300,77,85
78,2,2,1,3061,5988,5999,1999,324,2550,2332,415,177,137,91,22,9,0.309,1854,313,866,1937,1360,1523,7,163,236,1436,0,12,207.53732,340.36121,2,0,0,0,2,4.4476,0,3061,78,11
79,2,2,1,1756,2775,2814,1796,48,1878,721,563,278,194,68,9.60977,25.38028,0.102,4194,71,223,1611,729,180,117,395,2728,904,1,49,95,123,1,329.69281,0,0,3,4.30164,0,1756,79,39
80,2,2,1,2098,4346,4426,2515,353,1836,860,538,393,307,59,31,6,0.096,302,193,477,2556,924,276,32,76,126,65,0,3,75,116,2,0,0,0,1,3.51931,0,2098,80,80
81,2,2,1,3718,6804,7037,4637,349,3631,1304,1061,742,611,110,39.35723,21,0.09,2059,206,481,4323,1637,390,132,250,874,764,0,39,48,68,1,0,0,0,1,3.95688,0,3718,81,233
82,2,2,1,1646,3032,3049,1963,68,1700,408,459,370,409,76,29,15,0.123,2038,65,95,1864,773,252,344,200,839,630,1,24,63.81213,90.40053,1,0,0,0,1,4.17218,0,1646,82,17
83,2,2,1,2195,3837,3837,2462,529,1812,425,547,506,717,119,60,2,0.163,308,94,113,1820,1398,412,46,127,92,28,10,5,0,0,3,0,0,0,1,2.17335,0,2195,83,0
84,2,2,1,2319,4681,4768,3185,163,2295,487,699,526,607,117,42,4,0.078,1275,125,282,3061,1082,218,115,113,133,885,1,28,67.40088,95.48458,1,0,0,0,1,4.73708,0,2319,84,87
